Topic,Title,Link
ML,Machine-learning-assisted materials discovery using failed experiments,http://www.nature.com/nature/journal/v533/n7601/full/nature17439.html
ML,The NIPS'17 Competition: A Multi-View Ensemble Classification Model for Clinically Actionable Genetic Mutations,https://arxiv.org/abs/1806.09737
DNN,Deep learning of the tissue-regulated splicing code,http://www.psi.toronto.edu/publications/2014/DeepSplicingCode.pdf
DNN,Massively Multitask Networks for Drug Discovery,https://arxiv.org/abs/1502.02072
DNN,Multi-task Neural Networks for QSAR Predictions,https://arxiv.org/abs/1406.1231
DNN,DeepTox: Toxicity Prediction using Deep Learning,http://www.bioinf.jku.at/research/DeepTox/
DNN,"DeepLNC, a long non-coding RNA prediction tool using deep neural network",https://link.springer.com/article/10.1007%2Fs13721-016-0129-2
DNN,Removal of batch effects using distribution-matching residual networks,https://academic.oup.com/bioinformatics/article-abstract/doi/10.1093/bioinformatics/btx196/3611270/Removal-of-Batch-Effects-using-Distribution
DNN,Integrative Deep Models for Alternative Splicing,http://www.biorxiv.org/content/early/2017/01/31/104869
DNN,Deep Learning in Label-free Cell Classification,https://www.nature.com/articles/srep21471
DNN,DANN: a deep learning approach for annotating the pathogenicity of genetic variants.,https://www.ncbi.nlm.nih.gov/pubmed/25338716
DNN,Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction,https://papers.nips.cc/paper/4526-deep-spatio-temporal-architectures-and-learning-for-protein-structure-prediction
DNN/AE,Deep Learning for Population Genetic Inference,http://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004845
AE,Unsupervised feature construction and knowledge extraction from genome-wide assays of breast cancer with denoising autoencoders.,https://www.ncbi.nlm.nih.gov/pubmed/25592575
AE,"Learning structure in gene expression data using deep architectures, with an application to gene clustering",http://www.biorxiv.org/content/early/2015/11/16/031906
AE,Deep Learning based multi-omics integration robustly predicts survival in liver cancer,http://www.biorxiv.org/content/early/2017/03/08/114892
AE,ADAGE analysis of publicly available gene expression data collections illuminates Pseudomonas aeruginosa-host interactions,http://www.biorxiv.org/content/early/2015/11/05/030650
AE,miRAW: A deep learning approach to predict miRNA targets by analyzing whole miRNA transcripts,https://www.biorxiv.org/content/early/2017/11/16/220483
AE/RBM (kind of),Representation Learning: A Unified Deep Learning Framework for Automatic Prostate MR Segmentation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3939619/
